[2026-05-26 17:34:12.674] CONNECTION_OPEN | 总连接数: 1 | 活跃连接数: 1
[2026-05-26 17:34:12.677] CONNECTION_OPEN | 总连接数: 2 | 活跃连接数: 2
[2026-05-26 17:34:12.680] CONNECTION_OPEN | 总连接数: 3 | 活跃连接数: 3
[2026-05-26 17:34:12.684] CONNECTION_OPEN | 总连接数: 4 | 活跃连接数: 4
[2026-05-26 17:34:12.687] CONNECTION_OPEN | 总连接数: 5 | 活跃连接数: 5
[2026-05-26 17:34:18.077] CONNECTION_OPEN | 总连接数: 6 | 活跃连接数: 6
[2026-05-26 17:34:18.099] RECEIVE_QUERY | 类型: get_notes | 总数: 1
[2026-05-26 17:34:18.153] DISPATCH_QUERY | 类型: get_notes | 总数: 1
[2026-05-26 17:34:18.169] RECEIVE_MESSAGE | 主题: query/response | 总数: 1
[2026-05-26 17:34:18.216] DISPATCH_MESSAGE | 主题: query/response | 总数: 1
[2026-05-26 17:34:19.985] RECEIVE_QUERY | 类型: get_note | 总数: 2
[2026-05-26 17:34:20.025] DISPATCH_QUERY | 类型: get_note | 总数: 2
[2026-05-26 17:34:20.035] RECEIVE_MESSAGE | 主题: query/response | 总数: 2
[2026-05-26 17:34:20.077] DISPATCH_MESSAGE | 主题: query/response | 总数: 2
[2026-05-26 17:34:20.094] RECEIVE_QUERY | 类型: get_comments | 总数: 3
[2026-05-26 17:34:20.146] DISPATCH_QUERY | 类型: get_comments | 总数: 3
[2026-05-26 17:34:20.153] RECEIVE_MESSAGE | 主题: query/response | 总数: 3
[2026-05-26 17:34:20.198] DISPATCH_MESSAGE | 主题: query/response | 总数: 3
[2026-05-26 17:34:20.210] RECEIVE_QUERY | 类型: get_like_count | 总数: 4
[2026-05-26 17:34:20.270] DISPATCH_QUERY | 类型: get_like_count | 总数: 4
[2026-05-26 17:34:20.279] RECEIVE_MESSAGE | 主题: query/response | 总数: 4
[2026-05-26 17:34:20.320] DISPATCH_MESSAGE | 主题: query/response | 总数: 4
[2026-05-26 17:34:21.827] CONNECTION_OPEN | 总连接数: 7 | 活跃连接数: 7
[2026-05-26 17:34:21.833] RECEIVE_MESSAGE | 主题: note/like | 总数: 5
[2026-05-26 17:34:21.847] RECEIVE_QUERY | 类型: get_note | 总数: 5
[2026-05-26 17:34:21.856] DISPATCH_MESSAGE | 主题: note/like | 总数: 5
[2026-05-26 17:34:21.901] DISPATCH_QUERY | 类型: get_note | 总数: 5
[2026-05-26 17:34:21.946] RECEIVE_MESSAGE | 主题: query/response | 总数: 6
[2026-05-26 17:34:21.987] DISPATCH_MESSAGE | 主题: query/response | 总数: 6
[2026-05-26 17:34:22.047] RECEIVE_MESSAGE | 主题: note/like | 总数: 7
[2026-05-26 17:34:22.056] DISPATCH_MESSAGE | 主题: note/like | 总数: 7
[2026-05-26 17:34:22.069] RECEIVE_QUERY | 类型: get_note | 总数: 6
[2026-05-26 17:34:22.075] RECEIVE_QUERY | 类型: get_comments | 总数: 7
[2026-05-26 17:34:22.083] DISPATCH_QUERY | 类型: get_note | 总数: 6
[2026-05-26 17:34:22.084] DISPATCH_QUERY | 类型: get_comments | 总数: 7
[2026-05-26 17:34:22.097] RECEIVE_MESSAGE | 主题: query/response | 总数: 8
[2026-05-26 17:34:22.109] RECEIVE_MESSAGE | 主题: query/response | 总数: 9
[2026-05-26 17:34:22.113] DISPATCH_MESSAGE | 主题: query/response | 总数: 8
[2026-05-26 17:34:22.116] DISPATCH_MESSAGE | 主题: query/response | 总数: 9
[2026-05-26 17:34:22.185] RECEIVE_QUERY | 类型: get_comments | 总数: 8
[2026-05-26 17:34:22.189] RECEIVE_QUERY | 类型: get_like_count | 总数: 9
[2026-05-26 17:34:22.201] DISPATCH_QUERY | 类型: get_comments | 总数: 8
[2026-05-26 17:34:22.205] DISPATCH_QUERY | 类型: get_like_count | 总数: 9
[2026-05-26 17:34:22.207] RECEIVE_MESSAGE | 主题: query/response | 总数: 10
[2026-05-26 17:34:22.216] RECEIVE_MESSAGE | 主题: query/response | 总数: 11
[2026-05-26 17:34:22.234] RECEIVE_MESSAGE | 主题: note/like | 总数: 12
[2026-05-26 17:34:22.241] DISPATCH_MESSAGE | 主题: query/response | 总数: 10
