[2026-05-26 17:38:30] [QueryClient] 已连接到中间件 127.0.0.1:5001
[2026-05-26 17:38:30] [QueryClient] 已订阅查询结果主题
[2026-05-26 17:38:30] [QueryClient] 发送查询请求 - ID: 1779788310.8669775, 类型: get_notes
[2026-05-26 17:38:30] [QueryClient] 收到查询结果 - ID: 1779788310.8669775, 状态: success
[2026-05-26 17:38:32] [QueryClient] 发送查询请求 - ID: 1779788312.4265635, 类型: get_note
[2026-05-26 17:38:32] [QueryClient] 收到查询结果 - ID: 1779788312.4265635, 状态: success
[2026-05-26 17:38:32] [QueryClient] 发送查询请求 - ID: 1779788312.5363505, 类型: get_comments
[2026-05-26 17:38:32] [QueryClient] 收到查询结果 - ID: 1779788312.5363505, 状态: success
[2026-05-26 17:38:32] [QueryClient] 发送查询请求 - ID: 1779788312.6483555, 类型: get_like_count
[2026-05-26 17:38:32] [QueryClient] 收到查询结果 - ID: 1779788312.6483555, 状态: success
[2026-05-26 17:38:34] [QueryClient] 发送查询请求 - ID: 1779788314.5779355, 类型: get_note
[2026-05-26 17:38:34] [QueryClient] 收到查询结果 - ID: 1779788314.5779355, 状态: success
[2026-05-26 17:38:34] [QueryClient] 发送查询请求 - ID: 1779788314.6983294, 类型: get_comments
[2026-05-26 17:38:34] [QueryClient] 发送查询请求 - ID: 1779788314.7746382, 类型: get_note
[2026-05-26 17:38:34] [QueryClient] 收到查询结果 - ID: 1779788314.6983294, 状态: success
[2026-05-26 17:38:34] [QueryClient] 发送查询请求 - ID: 1779788314.9253876, 类型: get_like_count
[2026-05-26 17:38:34] [QueryClient] 发送查询请求 - ID: 1779788314.9632602, 类型: get_note
[2026-05-26 17:38:34] [QueryClient] 收到查询结果 - ID: 1779788314.7746382, 状态: success
[2026-05-26 17:38:34] [QueryClient] 发送查询请求 - ID: 1779788314.9893532, 类型: get_comments
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788314.9253876, 状态: success
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788314.9632602, 状态: success
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.0760965, 类型: get_comments
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788314.9893532, 状态: success
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.1009717, 类型: get_like_count
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.1587005, 类型: get_note
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788315.0760965, 状态: success
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.1865199, 类型: get_like_count
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788315.1009717, 状态: success
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788315.1587005, 状态: success
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.268231, 类型: get_comments
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.351269, 类型: get_note
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788315.268231, 状态: success
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.3783333, 类型: get_like_count
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788315.1865199, 状态: success
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788315.3783333, 状态: success
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.5299776, 类型: get_note
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788315.351269, 状态: success
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.5740323, 类型: get_comments
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788315.5299776, 状态: success
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.6431272, 类型: get_comments
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788315.5740323, 状态: success
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.682553, 类型: get_like_count
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.711692, 类型: get_note
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788315.6431272, 状态: success
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.7481241, 类型: get_like_count
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788315.682553, 状态: success
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788315.711692, 状态: success
[2026-05-26 17:38:35] [QueryClient] 发送查询请求 - ID: 1779788315.8221767, 类型: get_comments
[2026-05-26 17:38:35] [QueryClient] 收到查询结果 - ID: 1779788315.7481241, 状态: success
