[2026-06-01 10:49:02] [QueryClient] 已连接到中间件 127.0.0.1:5001
[2026-06-01 10:49:02] [QueryClient] 已订阅查询结果主题
[2026-06-01 10:49:02] [QueryClient] 发送查询请求 - ID: 1780282142.2287798, 类型: get_note
[2026-06-01 10:49:02] [QueryClient] 收到查询结果 - ID: 1780282142.2287798, 状态: success
[2026-06-01 10:49:02] [QueryClient] 发送查询请求 - ID: 1780282142.4446843, 类型: get_comments
[2026-06-01 10:49:02] [QueryClient] 收到查询结果 - ID: 1780282142.4446843, 状态: success
[2026-06-01 10:49:02] [QueryClient] 发送查询请求 - ID: 1780282142.6508799, 类型: get_like_count
[2026-06-01 10:49:02] [QueryClient] 收到查询结果 - ID: 1780282142.6508799, 状态: success
[2026-06-01 10:49:04] [QueryClient] 发送查询请求 - ID: 1780282144.5722344, 类型: get_note
[2026-06-01 10:49:04] [QueryClient] 收到查询结果 - ID: 1780282144.5722344, 状态: success
[2026-06-01 10:49:04] [QueryClient] 发送查询请求 - ID: 1780282144.682338, 类型: get_comments
[2026-06-01 10:49:04] [QueryClient] 收到查询结果 - ID: 1780282144.682338, 状态: success
[2026-06-01 10:49:04] [QueryClient] 发送查询请求 - ID: 1780282144.7861314, 类型: get_like_count
[2026-06-01 10:49:04] [QueryClient] 收到查询结果 - ID: 1780282144.7861314, 状态: success
[2026-06-01 10:49:06] [QueryClient] 发送查询请求 - ID: 1780282146.0643857, 类型: get_note
[2026-06-01 10:49:06] [QueryClient] 收到查询结果 - ID: 1780282146.0643857, 状态: success
[2026-06-01 10:49:06] [QueryClient] 发送查询请求 - ID: 1780282146.1683824, 类型: get_comments
[2026-06-01 10:49:06] [QueryClient] 收到查询结果 - ID: 1780282146.1683824, 状态: success
[2026-06-01 10:49:06] [QueryClient] 发送查询请求 - ID: 1780282146.2766924, 类型: get_like_count
[2026-06-01 10:49:06] [QueryClient] 收到查询结果 - ID: 1780282146.2766924, 状态: success
[2026-06-01 10:49:29] [QueryClient] 发送查询请求 - ID: 1780282169.1005042, 类型: get_note
[2026-06-01 10:49:29] [QueryClient] 收到查询结果 - ID: 1780282169.1005042, 状态: success
[2026-06-01 10:49:29] [QueryClient] 发送查询请求 - ID: 1780282169.2045171, 类型: get_comments
[2026-06-01 10:49:29] [QueryClient] 收到查询结果 - ID: 1780282169.2045171, 状态: success
[2026-06-01 10:49:29] [QueryClient] 发送查询请求 - ID: 1780282169.3111176, 类型: get_like_count
[2026-06-01 10:49:29] [QueryClient] 收到查询结果 - ID: 1780282169.3111176, 状态: success
[2026-06-01 10:49:35] [QueryClient] 发送查询请求 - ID: 1780282175.4435232, 类型: get_notes
[2026-06-01 10:49:35] [QueryClient] 收到查询结果 - ID: 1780282175.4435232, 状态: success
[2026-06-01 10:49:36] [QueryClient] 发送查询请求 - ID: 1780282176.971797, 类型: get_note
[2026-06-01 10:49:37] [QueryClient] 收到查询结果 - ID: 1780282176.971797, 状态: success
[2026-06-01 10:49:37] [QueryClient] 发送查询请求 - ID: 1780282177.0769556, 类型: get_comments
[2026-06-01 10:49:37] [QueryClient] 收到查询结果 - ID: 1780282177.0769556, 状态: success
[2026-06-01 10:49:37] [QueryClient] 发送查询请求 - ID: 1780282177.282878, 类型: get_like_count
[2026-06-01 10:49:37] [QueryClient] 收到查询结果 - ID: 1780282177.282878, 状态: success
[2026-06-01 10:49:41] [QueryClient] 发送查询请求 - ID: 1780282181.3156416, 类型: get_note
[2026-06-01 10:49:41] [QueryClient] 收到查询结果 - ID: 1780282181.3156416, 状态: success
[2026-06-01 10:49:41] [QueryClient] 发送查询请求 - ID: 1780282181.4223552, 类型: get_comments
[2026-06-01 10:49:41] [QueryClient] 收到查询结果 - ID: 1780282181.4223552, 状态: success
[2026-06-01 10:49:41] [QueryClient] 发送查询请求 - ID: 1780282181.5442116, 类型: get_like_count
[2026-06-01 10:49:41] [QueryClient] 收到查询结果 - ID: 1780282181.5442116, 状态: success
